nls_iters,Re,ej_ref_l2,time_fe_spaces,ndofs,ls_iters,eu_ref_h1,time_post_process,nsums,title,nc,ncells,np,Ha,time_pre_process,kmap,ndofs_u,ej_l2,ndofs_φ,eu_h1,uh_h1,uh_l2,ndofs_p,eu_ref_l2,jh_l2,ndofs_j,eu_l2,backend,time_solve,path
1,1.0,5.530866567415486e-5,0.021052917000000004,732690,1,0.00010555038578994402,30.999200197999983,100,ha00500cx064px02ns100ps01km1,64,12288,2,500.0,0.266083805,1,290322,5.536545781986553e-5,98304,9.23675484735579e-5,0.0016385112887929432,5.831116781906231e-5,49152,4.652156958119501e-7,0.0030907363432802868,294912,5.200746404046955e-7,mpi,116.71957545800001,/home/552/jp3650/GridapMHD.jl/analysis/data_eaab9d1/hconv_ha00500ns100/ha00500cx064px02ns100ps01km1_r1.bson
1,1.0,0.00040359714779916625,0.002518338000000009,39438,1,0.0010707410798634278,2.3907322660000005,100,ha00500cx015px02ns100ps01km1,15,675,2,500.0,0.23863488,1,15138,0.00040382278461116925,5400,0.0010920409221125405,0.0012744876064402244,5.352019621519156e-5,2700,1.9293666757792936e-5,0.0030594523087656192,16200,1.930939203431112e-5,mpi,17.789618713,/home/552/jp3650/GridapMHD.jl/analysis/data_eaab9d1/hconv_ha00500ns100/ha00500cx015px02ns100ps01km1_r1.bson
1,1.0,8.621314226429116e-5,0.009265281999999986,361278,1,0.00019900492372164696,16.137565146999997,100,ha00500cx045px02ns100ps01km1,45,6075,2,500.0,0.24143716699999998,1,142578,8.621163688773979e-5,48600,0.00020799354333428619,0.001630591031083708,5.8378784407705615e-5,24300,1.2691768399036433e-6,0.00309150468445495,145800,1.2294379472141824e-6,mpi,62.682874555,/home/552/jp3650/GridapMHD.jl/analysis/data_eaab9d1/hconv_ha00500ns100/ha00500cx045px02ns100ps01km1_r1.bson
1,1.0,2.7967734130244634e-5,0.25032869599999996,2986110,1,3.3773878601668426e-5,124.86452336400004,100,ha00500cx129px02ns100ps01km1,129,49923,2,500.0,0.29083784399999996,1,1188882,2.8111009425624495e-5,399384,4.876284264168027e-5,0.0016410074976671762,5.8282075736529416e-5,199692,8.333925200233423e-8,0.0030904801596215053,1198152,1.102997746487609e-7,mpi,496.305924609,/home/552/jp3650/GridapMHD.jl/analysis/data_eaab9d1/hconv_ha00500ns100/ha00500cx129px02ns100ps01km1_r1.bson
1,1.0,3.8516289447795886e-5,0.16890776100000005,1451538,1,6.293367465543426e-5,60.86595541300002,100,ha00500cx090px02ns100ps01km1,90,24300,2,500.0,0.258008657,1,576738,3.871179571070152e-5,194400,6.897640403876962e-5,0.0016404824808763326,5.828879111832485e-5,97200,1.8501557362720384e-7,0.0030905349451391573,583200,2.1201559584575504e-7,mpi,229.778967669,/home/552/jp3650/GridapMHD.jl/analysis/data_eaab9d1/hconv_ha00500ns100/ha00500cx090px02ns100ps01km1_r1.bson
1,1.0,0.00013909736038086236,0.008089768999999913,159858,1,0.0003931290149926071,7.123090318999999,100,ha00500cx030px02ns100ps01km1,30,2700,2,500.0,0.328000669,1,62658,0.00013906438653113473,21600,0.0004067301806041028,0.0015916315057860713,5.8463549992160416e-5,10800,3.855938524876327e-6,0.003094622566732696,64800,3.7784164539301328e-6,mpi,34.710181736,/home/552/jp3650/GridapMHD.jl/analysis/data_eaab9d1/hconv_ha00500ns100/ha00500cx030px02ns100ps01km1_r1.bson
