Re,ej_ref_l2,time_fe_spaces,ndofs,time_post_process,eu_ref_h1,nsums,title,nc,ncells,np,Ha,time_pre_process,kmap,ndofs_u,ej_l2,ndofs_φ,eu_h1,uh_h1,uh_l2,time_residual,ndofs_p,eu_ref_l2,jh_l2,ndofs_j,eu_l2,backend,path
1.0,0.019652403222615106,1.192137879999791,28771218,1173.2011921659998,0.009604413812114704,100,ha00050cx400px02ns100ps01km1,400,480000,2,50.0,0.6403634380003496,1,11491218,0.01965240322164316,3840000,0.009604293350625251,0.0,0.0,28.22937727800013,1920000,0.0011224028393083002,0.0,11520000,0.0011224028325087002,mpi,/home/552/jp3650/GridapMHD.jl/analysis/data_de8382b/strong_cx400ns100/ha00050cx400px02ns100ps01km1_r1.bson
1.0,0.019652403222615054,0.4419933019999007,28771218,527.2843853969998,0.009604413812114677,100,ha00050cx400px03ns100ps01km1,400,480000,3,50.0,0.3293830430000071,1,11491218,0.019652403221643105,3840000,0.009604293350625293,0.0,0.0,12.703117530999862,1920000,0.0011224028393083,0.0,11520000,0.0011224028325087035,mpi,/home/552/jp3650/GridapMHD.jl/analysis/data_de8382b/strong_cx400ns100/ha00050cx400px03ns100ps01km1_r1.bson
1.0,0.019652403222615026,0.37514278300000115,28771218,296.36777643999994,0.009604413812114717,100,ha00050cx400px04ns100ps01km1,400,480000,4,50.0,0.16139189700004408,1,11491218,0.019652403221643088,3840000,0.009604293350625265,0.0,0.0,7.629482628000005,1920000,0.001122402839308294,0.0,11520000,0.0011224028325087026,mpi,/home/552/jp3650/GridapMHD.jl/analysis/data_de8382b/strong_cx400ns100/ha00050cx400px04ns100ps01km1_r1.bson
1.0,0.019652403222615047,0.152547133999974,28771218,140.23734993200003,0.009604413812114713,100,ha00050cx400px06ns100ps01km1,400,480000,6,50.0,0.0961433009999837,1,11491218,0.01965240322164312,3840000,0.009604293350625261,0.0,0.0,3.7122273359999554,1920000,0.0011224028393082967,0.0,11520000,0.0011224028325086985,mpi,/home/552/jp3650/GridapMHD.jl/analysis/data_de8382b/strong_cx400ns100/ha00050cx400px06ns100ps01km1_r1.bson
1.0,0.019652403222615047,0.0797250060000465,28771218,76.93349305500004,0.00960441381211471,100,ha00050cx400px08ns100ps01km1,400,480000,8,50.0,0.04506380500001228,1,11491218,0.019652403221643116,3840000,0.009604293350625242,0.0,0.0,2.1794454289999976,1920000,0.0011224028393082962,0.0,11520000,0.0011224028325086987,mpi,/home/552/jp3650/GridapMHD.jl/analysis/data_de8382b/strong_cx400ns100/ha00050cx400px08ns100ps01km1_r1.bson
1.0,0.019652403222615057,0.045064442000011695,28771218,35.220555722,0.009604413812114715,100,ha00050cx400px12ns100ps01km1,400,480000,12,50.0,0.022319609999996715,1,11491218,0.019652403221643133,3840000,0.009604293350625251,0.0,0.0,1.1581605510000088,1920000,0.0011224028393082973,0.0,11520000,0.0011224028325086991,mpi,/home/552/jp3650/GridapMHD.jl/analysis/data_de8382b/strong_cx400ns100/ha00050cx400px12ns100ps01km1_r1.bson
1.0,0.01965240322261505,0.01743840099999261,28771218,19.712812768000006,0.00960441381211471,100,ha00050cx400px16ns100ps01km1,400,480000,16,50.0,0.014464178999986643,1,11491218,0.019652403221643123,3840000,0.00960429335062524,0.0,0.0,0.8135546660000159,1920000,0.0011224028393082958,0.0,11520000,0.0011224028325086987,mpi,/home/552/jp3650/GridapMHD.jl/analysis/data_de8382b/strong_cx400ns100/ha00050cx400px16ns100ps01km1_r1.bson
