nls_iters,Re,ej_ref_l2,time_fe_spaces,ndofs,ls_iters,eu_ref_h1,time_post_process,nsums,title,nc,ncells,time_jacobian,np,Ha,time_pre_process,kmap,ndofs_u,ej_l2,ndofs_φ,eu_h1,uh_h1,uh_l2,time_residual,ndofs_p,eu_ref_l2,jh_l2,ndofs_j,eu_l2,backend,time_solve,path
1,1.0,0.0001048714401125708,0.017394329000012476,732690,1,0.00011667489064008538,70.28106272000002,200,ha00050cx064px02ns200ps01km1,64,12288,42.16709091600001,2,50.0,0.01969293199999811,1,290322,0.00010487158475786669,98304,0.00011813190397814973,0.009604280316511983,0.0011224109381350164,0.9978341360000513,49152,5.427964318089081e-7,0.019652414401260872,294912,5.404769869876525e-7,mpi,108.20976562399994,/home/552/jp3650/GridapMHD.jl/analysis/results/2023_04/daccedff6aad4c0aba4cc48b1cedb5a886a1bde9/weak_ls32ns200/ha00050cx064px02ns200ps01km1_r1.bson
1,1.0,4.95733968140654e-5,0.0206695409999611,1651986,1,5.568411818210642e-5,74.295671825,200,ha00050cx096px03ns200ps01km1,96,27648,47.441155616,3,50.0,0.020298599999932776,1,656658,4.9573392262361666e-5,221184,5.670641325987555e-5,0.009604400512590018,0.001122404493200937,0.9832701909999741,110592,1.7248067850996184e-7,0.019652405350454167,663552,1.7320328430211864e-7,mpi,157.43218269399995,/home/552/jp3650/GridapMHD.jl/analysis/results/2023_04/daccedff6aad4c0aba4cc48b1cedb5a886a1bde9/weak_ls32ns200/ha00050cx096px03ns200ps01km1_r1.bson
1,1.0,2.854196007478452e-5,0.04040833199996996,2939922,1,3.200476638862307e-5,73.38192308100008,200,ha00050cx128px04ns200ps01km1,128,49152,62.88021287800001,4,50.0,0.02079289199991763,1,1170450,2.854238596799451e-5,393216,3.164554137836701e-5,0.009604421329362064,0.001122403369471308,1.0951718519999645,196608,7.454181380413894e-8,0.019652403883912227,1179648,8.053951394316024e-8,mpi,236.20141325700013,/home/552/jp3650/GridapMHD.jl/analysis/results/2023_04/daccedff6aad4c0aba4cc48b1cedb5a886a1bde9/weak_ls32ns200/ha00050cx128px04ns200ps01km1_r1.bson
