Re,ej_ref_l2,time_fe_spaces,ndofs,time_post_process,eu_ref_h1,nsums,title,nc,ncells,time_jacobian,np,Ha,time_pre_process,kmap,ndofs_u,ej_l2,ndofs_φ,eu_h1,uh_h1,uh_l2,time_residual,ndofs_p,eu_ref_l2,jh_l2,ndofs_j,eu_l2,backend,path
1.0,0.019652403214685626,0.2540730689997872,7185618,647.5330386100004,0.009604193739118248,200,ha00050cx200px02ns200ps01km1,200,120000,401.5821695899999,2,50.0,0.1596190430000206,1,2865618,0.019652403223929967,960000,0.009604422901965623,0.0,0.0,6.618398581000292,480000,0.0011224029599076638,0.0,2880000,0.001122402830744689,mpi,/home/552/jp3650/GridapMHD.jl/analysis/data/ha00050cx200px02ns200ps01km1_r1.bson
1.0,0.019652403214685674,0.09899415399968348,7185618,306.7385466699998,0.00960419373911823,200,ha00050cx200px03ns200ps01km1,200,120000,216.638423483,3,50.0,0.09471441200003028,1,2865618,0.01965240322393001,960000,0.00960442290196563,0.0,0.0,3.1867867989999468,480000,0.001122402959907662,0.0,2880000,0.0011224028307446911,mpi,/home/552/jp3650/GridapMHD.jl/analysis/data/ha00050cx200px03ns200ps01km1_r1.bson
1.0,0.019652403214685674,0.06906579199994667,7185618,175.35331762199996,0.009604193739118225,200,ha00050cx200px04ns200ps01km1,200,120000,182.26946147700005,4,50.0,0.05706792899997026,1,2865618,0.019652403223930012,960000,0.009604422901965629,0.0,0.0,1.9563480930000878,480000,0.0011224029599076607,0.0,2880000,0.0011224028307446905,mpi,/home/552/jp3650/GridapMHD.jl/analysis/data/ha00050cx200px04ns200ps01km1_r1.bson
1.0,0.019652403214685674,0.034920046999999954,7185618,81.11538927499998,0.009604193739118234,200,ha00050cx200px06ns200ps01km1,200,120000,96.764204834,6,50.0,0.023875455999927908,1,2865618,0.01965240322393001,960000,0.00960442290196564,0.0,0.0,1.1383805749999851,480000,0.0011224029599076612,0.0,2880000,0.0011224028307446916,mpi,/home/552/jp3650/GridapMHD.jl/analysis/data/ha00050cx200px06ns200ps01km1_r1.bson
1.0,0.019652403214685654,0.01727175299998862,7185618,45.33920626899999,0.009604193739118215,200,ha00050cx200px08ns200ps01km1,200,120000,55.65582597499997,8,50.0,0.014499658999966414,1,2865618,0.01965240322392999,960000,0.009604422901965632,0.0,0.0,0.8261208569999781,480000,0.0011224029599076616,0.0,2880000,0.0011224028307446918,mpi,/home/552/jp3650/GridapMHD.jl/analysis/data/ha00050cx200px08ns200ps01km1_r1.bson
1.0,0.01965240321468566,0.012875079999998817,7185618,21.21444950000003,0.009604193739118217,200,ha00050cx200px12ns200ps01km1,200,120000,27.175672855000016,12,50.0,0.00807567600000425,1,2865618,0.019652403223930002,960000,0.009604422901965627,0.0,0.0,0.5433902670000066,480000,0.0011224029599076618,0.0,2880000,0.0011224028307446918,mpi,/home/552/jp3650/GridapMHD.jl/analysis/data/ha00050cx200px12ns200ps01km1_r1.bson
1.0,0.01965240321468566,0.005599007000000711,7185618,12.693844178999996,0.00960419373911822,200,ha00050cx200px16ns200ps01km1,200,120000,16.65249357099998,16,50.0,0.0059517610000057175,1,2865618,0.01965240322392999,960000,0.009604422901965629,0.0,0.0,0.4610197500000197,480000,0.0011224029599076622,0.0,2880000,0.0011224028307446916,mpi,/home/552/jp3650/GridapMHD.jl/analysis/data/ha00050cx200px16ns200ps01km1_r1.bson
