nls_iters,Re,ej_ref_l2,time_fe_spaces,ndofs,ls_iters,eu_ref_h1,time_post_process,nsums,title,nc,ncells,time_jacobian,np,Ha,time_pre_process,kmap,ndofs_u,ej_l2,ndofs_φ,eu_h1,uh_h1,uh_l2,time_residual,ndofs_p,eu_ref_l2,jh_l2,ndofs_j,eu_l2,backend,time_solve,path
1,1.0,3.006809461155947e-6,1.3685863030000007,28771218,1,7.277325620073432e-6,2756.3877870000015,200,ha00050cx400px02ns200ps01km1,400,480000,2133.786918427002,2,50.0,0.8419402729996364,1,11491218,3.0070179053690106e-6,3840000,1.8472391208259982e-5,0.009604431223432375,0.0011224028451782494,27.009165354000288,1920000,4.200140969712739e-9,0.019652403229351637,11520000,2.2564323370970725e-8,mpi,6968.966511563,/home/552/jp3650/GridapMHD.jl/analysis/data_eaab9d1/strong_cx400ns200/ha00050cx400px02ns200ps01km1_r1.bson
1,1.0,3.006809461156156e-6,0.8036016140000006,28771218,1,7.277325620073208e-6,1302.1880007119998,200,ha00050cx400px03ns200ps01km1,400,480000,1149.1747898250014,3,50.0,0.5910659709999999,1,11491218,3.0070179053692486e-6,3840000,1.8472391207789808e-5,0.009604431223431062,0.0011224028451776629,12.417160072000115,1920000,4.2001409699320234e-9,0.01965240322935217,11520000,2.256432337016894e-8,mpi,4561.1085386429995,/home/552/jp3650/GridapMHD.jl/analysis/data_eaab9d1/strong_cx400ns200/ha00050cx400px03ns200ps01km1_r1.bson
1,1.0,3.0068094611560913e-6,0.7105504050000002,28771218,1,7.27732562007176e-6,724.3293801230011,200,ha00050cx400px04ns200ps01km1,400,480000,973.8983073260006,4,50.0,0.45982395300000006,1,11491218,3.0070179053691965e-6,3840000,1.8472391208304777e-5,0.00960443122343037,0.0011224028451779834,8.004052762000356,1920000,4.200140969395252e-9,0.01965240322935203,11520000,2.2564323370939755e-8,mpi,3874.868840185,/home/552/jp3650/GridapMHD.jl/analysis/data_eaab9d1/strong_cx400ns200/ha00050cx400px04ns200ps01km1_r1.bson
1,1.0,3.0068094611561913e-6,0.45841832299993257,28771218,1,7.277325620058188e-6,350.01474137000014,200,ha00050cx400px06ns200ps01km1,400,480000,552.3547617660001,6,50.0,0.1104572110002664,1,11491218,3.0070179053693125e-6,3840000,1.847239120812691e-5,0.009604431223423462,0.0011224028451772964,4.778083061999951,1920000,4.20014096834359e-9,0.019652403229344834,11520000,2.2564323370487615e-8,mpi,2775.6999522720002,/home/552/jp3650/GridapMHD.jl/analysis/data_eaab9d1/strong_cx400ns200/ha00050cx400px06ns200ps01km1_r1.bson
1,1.0,3.0068094611561523e-6,0.1631622909999999,28771218,1,7.277325620075941e-6,198.07252789999984,200,ha00050cx400px08ns200ps01km1,400,480000,306.82944359999965,8,50.0,0.470276576,1,11491218,3.0070179053692198e-6,3840000,1.847239120830529e-5,0.00960443122343167,0.0011224028451781967,3.1283672260001367,1920000,4.200140969672958e-9,0.019652403229355107,11520000,2.2564323370981614e-8,mpi,2254.1779445409998,/home/552/jp3650/GridapMHD.jl/analysis/data_eaab9d1/strong_cx400ns200/ha00050cx400px08ns200ps01km1_r1.bson
1,1.0,3.006809461154923e-6,0.06686657499994908,28771218,1,7.2773256200474185e-6,88.5129009750001,200,ha00050cx400px12ns200ps01km1,400,480000,120.82590227300034,12,50.0,0.02966924099996504,1,11491218,3.0070179053681157e-6,3840000,1.8472391207772366e-5,0.009604431223425422,0.001122402845177795,1.8496057019997352,1920000,4.2001409685199476e-9,0.019652403229346763,11520000,2.256432336995742e-8,mpi,1735.7307204689998,/home/552/jp3650/GridapMHD.jl/analysis/data_eaab9d1/strong_cx400ns200/ha00050cx400px12ns200ps01km1_r1.bson
