nls_iters,Re,ej_ref_l2,time_fe_spaces,ndofs,ls_iters,eu_ref_h1,time_post_process,nsums,title,nc,ncells,time_jacobian,np,Ha,time_pre_process,kmap,ndofs_u,ej_l2,ndofs_φ,eu_h1,uh_h1,uh_l2,time_residual,ndofs_p,eu_ref_l2,jh_l2,ndofs_j,eu_l2,backend,time_solve,path
1,1.0,0.000172658115731796,0.008799404000001232,411282,1,0.0001935024285152334,39.78661422599998,200,ha00050cx048px02ns200ps01km1,48,6912,23.89324333000002,2,50.0,0.011465882000010197,1,162450,0.00017265814936971312,55296,0.00019743860236084653,0.009603963173539983,0.0011224274171451425,0.6468052039999748,27648,1.1880237836367887e-6,0.019652439790998913,165888,1.1890184811045662e-6,mpi,59.847627249000084,/home/552/jp3650/GridapMHD.jl/analysis/results/2023_04/daccedff6aad4c0aba4cc48b1cedb5a886a1bde9/weak_ls20ns200/ha00050cx048px02ns200ps01km1_r1.bson
1,1.0,8.474891860846726e-5,0.010803293999970265,927954,1,9.5110558293106e-5,41.67568686100003,200,ha00050cx072px03ns200ps01km1,72,15552,29.820577877000005,3,50.0,0.012658900000019457,1,368082,8.474843189415604e-5,124416,9.684750952848629e-5,0.009604336209851197,0.0011224079567354174,0.6700073680000287,62208,3.9066614408246917e-7,0.0196524101169304,373248,3.880902343811691e-7,mpi,85.41528092100009,/home/552/jp3650/GridapMHD.jl/analysis/results/2023_04/daccedff6aad4c0aba4cc48b1cedb5a886a1bde9/weak_ls20ns200/ha00050cx072px03ns200ps01km1_r1.bson
1,1.0,4.9573396813750466e-5,0.01284180299990112,1651986,1,5.568411803722025e-5,41.34118393999984,200,ha00050cx096px04ns200ps01km1,96,27648,38.005733573000015,4,50.0,0.011620529000026636,1,656658,4.957339226204549e-5,221184,5.6706413193732656e-5,0.009604400512730042,0.0011224044932182486,0.6946376120001787,110592,1.7248067859939507e-7,0.019652405350229298,663552,1.7320328437444284e-7,mpi,127.36996844700002,/home/552/jp3650/GridapMHD.jl/analysis/results/2023_04/daccedff6aad4c0aba4cc48b1cedb5a886a1bde9/weak_ls20ns200/ha00050cx096px04ns200ps01km1_r1.bson
1,1.0,2.2697913318893702e-5,0.017502303000014763,3722130,1,2.5941817846121532e-5,42.67536018099986,200,ha00050cx144px06ns200ps01km1,144,62208,58.641867078999894,6,50.0,0.01762691100009306,1,1482642,2.2698320627717964e-5,497664,2.7778481462317088e-5,0.009604425020490918,0.00112240317146824,0.7353931380000063,248832,5.2706705062032265e-8,0.019652403631697825,1492992,5.8203275584267326e-8,mpi,229.80688437599997,/home/552/jp3650/GridapMHD.jl/analysis/results/2023_04/daccedff6aad4c0aba4cc48b1cedb5a886a1bde9/weak_ls20ns200/ha00050cx144px06ns200ps01km1_r1.bson
